Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class,Rdelta,Rtheta,Ralpha,Rbeta,Rgamma,,(Theta+alpha)/beta,Alpha/beta,(Theta+alpha)/(alpha+beta),Theta/beta,,rdelta,rtheta,ralpha,rbeta
11499.646,2437.116,950.768,2727.225,675.143,0,0.628743036,0.133249294,0.051983231,0.149111001,0.036913437,,1.390120126,0.348621034,0.656014775,0.893624838,,,0.398540075,0.155478504,0.445981421
8173.38,2224.631,1148.879,2753.022,635.077,0,0.547263878,0.148954311,0.076925333,0.184333715,0.042522763,,1.516435759,0.41731559,0.677731051,0.808068733,,,0.363114238,0.187525177,0.449360584
6208.857,1894.54,1108.666,2404.841,565.563,0,0.509655146,0.155513657,0.091005048,0.197401807,0.046424341,,1.585190073,0.461014262,0.698520554,0.787802603,,,0.350318701,0.205003026,0.444678273
16980.303,1797.168,1131.066,2998.505,671.856,0,0.720148287,0.076219338,0.047969417,0.127169005,0.028493953,,1.629360193,0.377209976,0.61059918,0.599354678,,,0.303230495,0.190841203,0.505928302
22537.396,2488.69,1290.935,2412.741,514.793,0,0.770652725,0.08509926,0.044142747,0.08250223,0.017603038,,1.518720692,0.535049141,0.77112684,1.031478306,,,0.401896464,0.208472012,0.389631524
11061.31,1900.775,1016.172,2909.932,649.436,0,0.630718812,0.108382691,0.057942395,0.16592509,0.037031012,,1.534609304,0.34920816,0.606344764,0.653202549,,,0.326208078,0.174393874,0.499398048
19163.841,1929.481,981.15,1663.217,321.351,0,0.796533902,0.080197755,0.040780929,0.069130647,0.013356767,,1.508504619,0.589910998,0.810151869,1.160089754,,,0.421850704,0.214513031,0.363636264
11138.662,2320.131,926.904,1712.596,370.341,0,0.676356157,0.140881812,0.056282992,0.103991381,0.022487657,,1.399505028,0.54122747,0.805171042,1.354745077,,,0.467803149,0.18688971,0.345307141
10608.875,1717.304,920.123,1400.519,307.321,0,0.709427194,0.114838016,0.061529642,0.093654253,0.020550895,,1.53579506,0.65698716,0.845919412,1.226191148,,,0.425291472,0.22786907,0.346839457
10735.973,2580.138,1290.198,3139.939,662.56,0,0.583197619,0.140157798,0.070085907,0.170567209,0.035991467,,1.500049997,0.410899065,0.676623059,0.821715963,,,0.368050897,0.18404385,0.447905253
11933.137,1928.493,917.908,1463.141,352.749,0,0.71906172,0.116206283,0.055310896,0.088165307,0.021255794,,1.475971652,0.627354438,0.839241793,1.318050003,,,0.447493724,0.212994327,0.339511948
6683.959,1617.266,740.42,1500.886,281.756,0,0.617496469,0.149410857,0.068403582,0.13865911,0.026029982,,1.457822028,0.493321945,0.756116443,1.077540866,,,0.419135888,0.191889642,0.38897447
12859.576,2270.96,1120.931,1757.347,410.637,0,0.69815197,0.123291405,0.060855831,0.095407132,0.022293661,,1.493593458,0.637854106,0.842014027,1.292266126,,,0.441028362,0.217688714,0.341282924
16701.491,1777.297,758.783,1500.664,286.762,0,0.794363538,0.084532569,0.036089565,0.07137523,0.013639098,,1.426930896,0.505631507,0.773676075,1.184340399,,,0.440279839,0.187969066,0.371751094
13778.461,2068.862,885.561,1761.566,326.307,0,0.732088566,0.109924484,0.047052358,0.093596979,0.017337613,,1.428042566,0.502712359,0.771303625,1.174444784,,,0.438691015,0.187778428,0.373530557
19428.533,2302.273,1176.369,3276.103,750.633,0,0.721340952,0.0854786,0.04367613,0.121634879,0.027869439,,1.510959821,0.359075707,0.623594035,0.702747441,,,0.340837885,0.174154465,0.48500765
13561.105,2365.972,1077.984,2638.445,609.44,0,0.669586785,0.116821128,0.053226034,0.130274628,0.030091425,,1.455619931,0.408567925,0.688183259,0.896729703,,,0.38898652,0.177230012,0.433783468
24212.957,2271.872,1115.209,2717.677,586.143,0,0.783493019,0.073514187,0.036086401,0.087939732,0.018966661,,1.490876687,0.410353769,0.678835101,0.835961006,,,0.372147758,0.182678658,0.445173584
18853.946,2196.659,1177.522,2063.536,557.621,0,0.758731962,0.088399287,0.047386556,0.083042071,0.022440123,,1.53605134,0.570633127,0.792025013,1.06451208,,,0.403967143,0.216547128,0.379485729
6967.339,1789.956,1338.678,2756.3,600.59,0,0.517907526,0.133053908,0.099508781,0.204885756,0.044644029,,1.747883188,0.485679353,0.68817814,0.649405362,,,0.304159061,0.227475448,0.468365491
8383.529,1646.068,962.051,2231.946,447.473,0,0.613231506,0.120405232,0.070371318,0.163260556,0.032731388,,1.584453984,0.431036862,0.672539862,0.737503506,,,0.340092127,0.198768198,0.461139675
8762.919,2509.387,1141.474,2298.362,522.822,0,0.575184753,0.164712368,0.074924627,0.150861006,0.034317246,,1.454881611,0.496646742,0.759370134,1.091815389,,,0.421800797,0.191869426,0.386329778
6419.206,1698.215,865.425,1714.783,432.772,0,0.57672729,0.152574467,0.077753263,0.154063003,0.038881977,,1.509608618,0.504684849,0.7511402,0.990338136,,,0.396925456,0.202276633,0.400797911
14956.735,2515.41,1276.725,3109.558,700.232,0,0.663015223,0.111505293,0.056595782,0.137843205,0.031040496,,1.507561392,0.410580861,0.674161169,0.808928472,,,0.364462748,0.18498722,0.450550032
13641.474,2042.132,1092.285,2233.806,481.282,0,0.699886548,0.104773188,0.056040541,0.114607173,0.024692551,,1.534874827,0.488979347,0.73303612,0.914193981,,,0.380411171,0.203472359,0.416116469
7529.06,1951.517,1029.652,1934.14,396.764,0,0.586323652,0.151973895,0.08018389,0.150620666,0.030897897,,1.527616208,0.5323565,0.767223921,1.008984355,,,0.397028346,0.20947859,0.393493064
24721.482,2645.401,1312.923,2298.92,574.197,0,0.78349261,0.083840125,0.041610186,0.072859177,0.018197902,,1.496303963,0.571104258,0.800579898,1.150714683,,,0.422774148,0.209824485,0.367401367
7182.745,2050.358,861.675,1995.639,399.328,0,0.575091405,0.16416332,0.0689906,0.159782205,0.03197247,,1.420255877,0.431778994,0.719731873,1.027419288,,,0.417786274,0.175577137,0.406636589
26604.837,1992.042,1060.87,2188.873,501.822,0,0.822445648,0.061580767,0.032795086,0.06766548,0.015513018,,1.532554032,0.484664939,0.730201882,0.910076555,,,0.38003123,0.202387164,0.417581606
18637.605,2326.756,1077.544,2355.971,544.643,0,0.747222243,0.093284724,0.04320109,0.094456017,0.021835926,,1.463110012,0.45736726,0.726990918,0.987599593,,,0.40393169,0.18706481,0.4090035
17294.683,2129.488,1081.56,2168.821,449.393,0,0.747912305,0.092090169,0.046772296,0.093791133,0.019434097,,1.507896734,0.498685691,0.74704913,0.98186434,,,0.395825252,0.201038352,0.403136396
9950.059,2797.984,1205.904,1969.31,396.454,0,0.609695784,0.171448134,0.073892485,0.120670642,0.024292955,,1.430990313,0.612348488,0.83986597,1.420794085,,,0.468423113,0.201885824,0.329691063
8126.061,1948.918,1241.841,2289.398,439.539,0,0.578542047,0.138754928,0.08841396,0.1629957,0.031293365,,1.6371951,0.542431242,0.752836504,0.851279681,,,0.355631782,0.226606829,0.417761389
7046.907,1968.01,1082.268,2204.817,436.57,0,0.553194424,0.154492199,0.084959915,0.173081959,0.034271502,,1.549930132,0.490865228,0.730985972,0.892595621,,,0.374495609,0.20594642,0.419557972
