Theta,Alpha,Beta,Delta,Class
0.158220658,0.068655383,0.118788451,0.026695114,2
0.146153096,0.066812616,0.110734354,0.021817108,2
0.129136622,0.078882429,0.207230669,0.042740161,2
0.139718895,0.101278314,0.263453955,0.058214535,2
0.131482081,0.100689659,0.237592843,0.060549873,2
0.168229675,0.092839462,0.213349768,0.055170614,2
0.185783677,0.064007769,0.092848449,0.020309293,2
0.041279057,0.032151692,0.082189255,0.018282441,2
0.11448649,0.078716719,0.255473816,0.054843885,2
0.192546582,0.068112199,0.186900959,0.039906257,2
0.144665577,0.062050802,0.117133802,0.028896213,2
0.141315983,0.104363348,0.290805889,0.063885654,2
0.1277419,0.070794742,0.160775791,0.03127201,2
0.118360393,0.051986707,0.07698435,0.015658388,2
0.133798383,0.108171431,0.306235464,0.078444998,2
0.158221961,0.063584283,0.158295244,0.03565525,2
0.153220842,0.071482456,0.139569143,0.027869641,2
0.11675907,0.066934007,0.12122711,0.023114854,2
0.145429091,0.043274845,0.082153243,0.018748497,2
0.14433695,0.116354628,0.370706067,0.083344147,2
0.132218347,0.069732817,0.201212849,0.046818921,2
0.14410319,0.095429574,0.23590509,0.057704066,2
0.155155067,0.096775984,0.28002431,0.050948134,2
0.157550634,0.079772168,0.192715612,0.041014011,2
0.138297463,0.063223167,0.101244697,0.024547414,2
0.141669083,0.061678915,0.114998888,0.027159841,2
0.158873728,0.051545484,0.069427022,0.01463561,2
0.154586427,0.056555738,0.069003161,0.014584219,2
0.12365547,0.091290868,0.307568652,0.0827708,2
0.120068533,0.078604305,0.199100527,0.04277047,2
0.126693908,0.049097308,0.10959823,0.026019395,2
0.134799017,0.098930218,0.199018621,0.045636081,2
0.131590587,0.107004659,0.228286472,0.050054957,2
0.181489103,0.07826086,0.192005506,0.042860777,2
0.130374205,0.098934685,0.291912026,0.063449161,2
0.148094771,0.061726554,0.115499518,0.024752217,2
0.110030168,0.083408713,0.209262598,0.050728512,2
0.111140939,0.072458134,0.157411484,0.035093891,2
0.147385174,0.055439527,0.097850313,0.022877116,2
0.140242506,0.061144196,0.075562426,0.017238628,2
0.159641633,0.119809618,0.292070421,0.077883016,2
0.112662112,0.085245433,0.207987733,0.046493219,2
0.146842357,0.065252663,0.175481877,0.036337674,2
0.149539323,0.066928016,0.134044378,0.028606558,2
0.180098813,0.096637028,0.188893626,0.034227383,2
0.162745195,0.115678464,0.218823753,0.041739211,2
0.141964267,0.089551175,0.311117373,0.080821575,2
0.136043373,0.074199826,0.196897385,0.042792802,2
0.140567344,0.067888631,0.122307,0.028227897,2
0.127411065,0.070234855,0.191584789,0.042131633,2
0.102351645,0.079530143,0.27546839,0.071871899,2
0.139609378,0.096315335,0.276032635,0.066149727,2
0.153015032,0.097126822,0.181957915,0.037643067,2
0.101895976,0.081837088,0.230038151,0.051066003,2
0.159498715,0.101689703,0.241440602,0.053243539,2
0.156629967,0.093424901,0.243792422,0.049061252,2
0.128465797,0.077500992,0.16989577,0.037775556,2
0.145799818,0.077300757,0.175576956,0.037946408,2
0.109957584,0.084382219,0.277621508,0.069542787,2
0.169678955,0.064884402,0.215412127,0.040312213,2
0.155867369,0.063080837,0.136562026,0.033790294,2
0.119399158,0.0690001,0.184786218,0.040047343,2
0.118722624,0.088365695,0.255440797,0.058023762,2
0.15129162,0.072780557,0.134049798,0.032571667,2
0.100527063,0.067843812,0.196447512,0.041849642,2
0.113954854,0.056287274,0.141802062,0.031943588,2
0.132549804,0.107560686,0.342448249,0.085670674,2
0.166565734,0.072070268,0.178813369,0.039444196,2
0.139999464,0.059906035,0.105071334,0.026153208,2
0.119921703,0.049962761,0.076950208,0.017173618,2
0.126376466,0.085014839,0.23094591,0.061952907,2
0.078368616,0.070348643,0.174744038,0.042548294,2
0.119607375,0.092196813,0.308067513,0.071358849,2
0.145041125,0.085820405,0.253795794,0.05422841,2
0.156540506,0.080446779,0.155905284,0.031873817,2
0.146066064,0.068589552,0.14472796,0.029643436,2
0.177485818,0.064807468,0.107515584,0.02426407,2
0.137433871,0.06582681,0.206544309,0.047654139,2
0.104243314,0.067458988,0.166861693,0.041448906,2
0.123757423,0.069499627,0.145940047,0.034059296,2
0.14881817,0.071769286,0.174565546,0.038013912,2
0.145225821,0.092804414,0.288446308,0.073676209,2
0.136001801,0.0845151,0.180990574,0.043004323,2
0.118477375,0.065806062,0.15365781,0.028289605,2
0.144000518,0.061773172,0.10721759,0.023240867,2
0.147063643,0.062275667,0.071416531,0.01572588,2
0.090666165,0.044817488,0.084289204,0.015669482,2
0.083949354,0.048785997,0.095748221,0.020432319,2
0.123025966,0.085904455,0.178444713,0.034791604,2
0.137438219,0.079152048,0.132329391,0.029850607,2
0.113781605,0.059989185,0.093759248,0.020060148,2
0.10019265,0.0746864,0.102191973,0.019605023,2
0.10423056,0.066539918,0.163806003,0.035867071,2
0.131328448,0.078987311,0.122664583,0.027002088,2
0.118819031,0.068639772,0.104770878,0.022432898,2
0.153637675,0.092134262,0.207419094,0.04504019,2
0.191629314,0.068464466,0.125141731,0.027837822,2
0.134978536,0.08762354,0.2876225,0.067077305,2
0.139657934,0.099069491,0.284393617,0.061293414,2
0.153782678,0.069947932,0.205588224,0.04156623,2
0.154054053,0.060682638,0.139543033,0.029349432,2
0.072743956,0.04464395,0.116974247,0.030312598,2
0.194069747,0.088590432,0.255853567,0.063407863,2
0.129012535,0.054098379,0.109588873,0.02515158,2
0.13678699,0.049979023,0.084881856,0.020676387,2
0.143831913,0.063946952,0.113394501,0.021489874,2
0.108310717,0.085479243,0.220095027,0.062368961,2
0.105850523,0.091803407,0.300438276,0.066379849,2
0.119563682,0.082227719,0.184692116,0.04120056,2
0.153190252,0.068721251,0.14207199,0.029756004,2
0.149673182,0.074151413,0.138796406,0.027696632,2
0.137768932,0.06275296,0.122639319,0.024904912,2
0.109730688,0.061221892,0.132928524,0.027293295,2
0.163796078,0.070814966,0.110646321,0.025701225,2
0.133741315,0.086484158,0.282642614,0.071596142,2
0.13911555,0.092939256,0.21904574,0.047324493,2
0.13604327,0.076509579,0.186763276,0.040260894,2
0.12413367,0.052389007,0.085365735,0.020271878,2
0.1446306,0.0735697,0.108637269,0.027407308,2
0.181817781,0.06721261,0.092435292,0.020191509,2
0.130458466,0.082757945,0.196572941,0.047883983,2
0.114289136,0.096337383,0.232319086,0.060450912,2
0.137534612,0.081697134,0.152886701,0.036008204,2
0.101459449,0.076138993,0.192160947,0.042933343,2
0.12541536,0.055007954,0.107010118,0.023386793,2
0.135157375,0.05266604,0.069765785,0.015019992,2
0.126362455,0.060441734,0.081652082,0.020128424,2
0.118996299,0.118818628,0.406305272,0.09773113,2
0.120323938,0.07850006,0.198210557,0.048321345,2
0.160027625,0.073251876,0.214461393,0.044630994,2
0.134289454,0.078292443,0.251386844,0.049521415,2
0.165285991,0.115331128,0.311817149,0.07150311,2
0.189826858,0.06178814,0.124788977,0.030011797,2
0.149716321,0.0670925,0.10911005,0.026235116,2
0.140540382,0.105185066,0.291494537,0.068423183,2
0.119587495,0.077366528,0.180292556,0.043829046,2
0.137984861,0.066948843,0.126943649,0.034068186,2
0.145853352,0.063082992,0.07646107,0.020388409,2
0.12954222,0.089507243,0.265263872,0.063721069,2
0.125088378,0.061517896,0.117684193,0.026427679,2
0.166318939,0.080613585,0.134321232,0.026751893,2
0.146299051,0.115708332,0.307179338,0.064208297,2
0.138628151,0.074545712,0.12273605,0.026354053,2
0.14137093,0.092879741,0.268327606,0.064467568,2
0.135173411,0.054944173,0.101749984,0.023125992,2
0.163577234,0.065939167,0.112090652,0.019723049,2
0.149964096,0.067184948,0.088861334,0.017870769,2
0.132994069,0.103196521,0.245971548,0.064469216,2
0.105081253,0.0578756,0.181533322,0.046726627,2
0.160781386,0.091429173,0.138030428,0.031486861,2
0.16299116,0.072381333,0.093643994,0.022518672,2
0.143583381,0.065429532,0.085564709,0.019104999,2
0.131544629,0.113896944,0.395656073,0.099367063,2
0.131846535,0.075628723,0.190745408,0.045972202,2
0.154536723,0.097000164,0.233127982,0.062717799,2
0.129961268,0.049806136,0.074315692,0.021092296,2
0.102443469,0.084319672,0.265550266,0.055386152,2
0.131160567,0.080711721,0.190716822,0.044820913,2
0.146958312,0.066271369,0.182378943,0.044705165,2
0.141720667,0.068912727,0.145516421,0.034189578,2
0.085708733,0.064043392,0.192536044,0.05202326,2
0.155112545,0.080096056,0.166825439,0.04400396,2
0.158061426,0.082554696,0.147825639,0.032719203,2
0.178975586,0.098772568,0.199136472,0.044506963,2
0.143806511,0.115931029,0.290938529,0.070450653,2
0.135269872,0.085686873,0.180798572,0.039913596,2
0.129190017,0.076399264,0.172763881,0.03859894,2
0.147379535,0.064572614,0.113902521,0.023668867,2
