Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,Class
14898.268,2945.92,1678.713,4009.419,979.112,2
9517.985,2546.59,1855.461,5365.641,1315.475,2
10135.227,2623.355,1432.255,2447.685,531.648,2
9120.438,2184.966,1048.181,1490.76,277.38,2
11560.142,2235.043,1140.632,2001.854,385.199,2
21306.125,2842.363,1899.108,3196.459,655.284,2
7545.994,2622.309,915.664,1928.123,332.516,2
10596.434,2623.97,1433.684,2364.725,433.503,2
8256.631,2310.479,971.505,1498.37,344.577,2
11567.334,2077.595,812.269,1457.181,326.034,2
11741.334,3257.692,1628.11,3765.307,819.797,2
15249.362,2723.92,1437.697,3591.034,746.246,2
22605.534,3101.831,1817.673,4011.483,970.311,2
10613.367,2768.871,1230.478,2385.148,454.033,2
7883.146,2207.604,972.631,1257.521,271.775,2
9785.342,2199.551,962.457,1247.539,256.708,2
9657.67,2573.587,991.156,1251.14,283.526,2
10330.025,2381.411,891.813,1308.923,245.283,2
11632.579,2658.242,1121.329,1435.697,311.135,2
14253.081,2418.135,1330.993,3004.209,639.92,2
10861.724,2343.375,773.295,1579.457,311.558,2
10203.199,1730.822,670.269,1283.057,266.77,2
35935.227,4305.187,1572.198,2284.994,470.847,2
9763.698,3038.5,1668.189,3389.521,716.814,2
67240.366,5246.661,2747.612,3268.728,630.817,2
23251.236,4430.264,2215.735,3639.162,882.472,2
12581.61,3085.869,1282.491,2131.232,436.965,2
8327.464,2131.565,1023.735,1676.264,334.433,2
13378.049,3437.884,1388.63,2695.969,679.831,2
10172.043,2174.178,1229.024,2294.056,556.705,2
34615.685,2795.373,1464.205,2823.88,628.283,2
10569.389,2665.49,938.75,1937.083,418.046,2
10630.717,2581.653,1316.527,3053.832,550.67,2
15236.849,2690.834,1679.765,3432.909,743.955,2
10516.354,2453.981,1051.543,2212.586,379.162,2
39768.084,4360.896,3134.464,5807.673,1520.937,2
8323.38,2869.34,1454.711,3524.99,706.75,2
8487.257,2278.223,831.166,1503.623,243.826,2
9129.956,2716.346,1335.435,2286.328,485.386,2
23616.869,4723.069,1689.762,3032.674,546.266,2
9153.91,1821.567,956.008,1404.297,286.849,2
10449.585,2831.79,1267.591,2905.001,576.842,2
17232.456,5202.57,2833.984,4988.568,1173.595,2
11258.968,4083.063,2649.938,6737.819,1453.439,2
16049.755,4040.626,2523.083,5141.266,996.642,2
7710.034,3495.392,1918.589,4472.326,818.204,2
