0-5min,5-10min,10-15min,15-20min,20-25min,25-30min,30-35min,,
881,821,861,721,901,641,242,,
781,861,901,681,861,421,260,,
762,801,662,482,802,261,281,,
841,722,421,881,861,242,241,,
901,700,501,721,941,560,261,,
821,722,321,441,842,322,622,,
741,740,2480,461,821,721,381,,
782,742,821,282,881,441,921,,
800,701,741,501,922,322,561,,
802,721,541,280,800,880,322,,
702,842,841,441,,601,881,,
740,880,701,742,,362,561,,
622,782,761,621,,841,341,,
1020,721,681,1141,,541,381,,
782,741,721,722,,322,581,,
722,781,840,741,,880,341,,
861,782,742,761,,641,542,,
861,761,441,721,,382,341,,
801,721,300,722,,822,561,,
781,841,681,701,,781,341,,
821,861,742,441,,981,681,,
881,782,821,321,,861,521,,
781,741,701,321,,1002,461,,
742,841,661,401,,880,282,,
781,881,701,241,,1042,540,,
802,801,,301,,1061,341,,
820,762,,361,,981,582,,
741,821,,262,,941,381,,
742,901,,381,,1002,641,,
861,882,,261,,981,381,,
842,740,,261,,901,602,,
521,802,,381,,962,360,,
,841,,261,,1062,482,,
,901,,761,,901,321,,
,802,,541,,901,661,,
,721,,322,,681,581,,
,801,,761,,421,442,,
,822,,821,,881,280,,
,840,,922,,821,622,,
,802,,901,,842,361,,
,,,781,,961,581,,
,,,861,,581,961,,
,,,921,,361,962,,
,,,841,,722,781,,
,,,841,,861,1082,,
,,,962,,941,,,
,,,901,,841,,,
,,,781,,722,,,
,,,821,,1180,,,
,,,862,,702,,,
,,,601,,921,,,
,,,881,,801,,,
,,,822,,941,,,
,,,781,,882,,,
,,,521,,701,,,
,,,301,,761,,,
,,,780,,741,,,
,,,722,,742,,,
,,,941,,801,,,
,,,742,,741,,,
,,,841,,841,,,
,,,661,,961,,,
,,,962,,702,,,
,,,800,,1001,,,
,,,861,,961,,,
,,,842,,942,,,
,,,742,,840,,,
,,,760,,842,,,
,,,761,,981,,,
,,,742,,922,,,
,,,581,,,,,
,,,841,,,,,
,,,781,,,,,
,,,801,,,,,
,,,722,,,,,
,,,741,,,,,
,,,841,,,,,
,,,521,,,,,
,,,301,,,,,
,,,702,,,,,
,,,761,,,,,
,,,841,,,,,
,,,681,,,,,
,,,962,,,,,
,,,761,,,,,
,,,861,,,,,
,,,861,,,,,
,,,821,,,,,
,,,842,,,,,
,,,841,,,,,
,,,581,,,,,
,,,341,,,,,
,,,781,,,,,
,,,781,,,,,
,,,621,,,,,
,,,362,,,,,
,,,780,,,,,
,,,762,,,,,
,,,841,,,,,
,,,842,,,,,
,,,500,,,,,
