Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,MedianNN,MeanNN,SDNN,MedianX,MeanX,SDX,Class
13641.474,2042.132,1092.285,2233.806,481.282,661.5,667.833,40.214,38.42,38.403,0.131,0
7529.06,1951.517,1029.652,1934.14,396.764,681.5,694.417,42.037,38.49,38.928,0.787,0
24721.482,2645.401,1312.923,2298.92,574.197,662,662.917,26.459,39.74,39.709,0.088,0
7182.745,2050.358,861.675,1995.639,399.328,692,686.167,46.519,39.59,39.517,0.209,0
26604.837,1992.042,1060.87,2188.873,501.822,660.5,659.5,32.533,39.3,39.312,0.189,0
18637.605,2326.756,1077.544,2355.971,544.643,631.5,631.167,23.611,39.15,39.121,0.214,0
17294.683,2129.488,1081.56,2168.821,449.393,621.5,622.833,25.238,38.86,38.931,0.096,0
9950.059,2797.984,1205.904,1969.31,396.454,641.5,656.167,50.468,38.86,38.828,0.109,0
8126.061,1948.918,1241.841,2289.398,439.539,641,657.833,55.828,38.785,38.712,0.174,0
7046.907,1968.01,1082.268,2204.817,436.57,681,679.583,39.645,38.56,38.621,0.118,0
7264.55,1909.117,961.173,2283.757,383.573,691,701.083,35.694,38.49,38.505,0.149,0
5829.27,2317.125,1096.695,2173.422,456.981,662,674.5,35.38,38.42,38.446,0.143,0
10501.824,2791.742,950.905,1744.268,356.273,681,686.167,21.61,38.195,38.255,0.211,0
13732.637,2264.226,1242.113,3689.798,925.959,681,666.167,50.532,38.27,38.241,0.145,0
14829.823,2241.991,1080.916,3157.315,686.025,721,712.75,28.911,38.27,38.226,0.115,0
6869.536,2031.853,1174.291,3163.459,691.596,661,657.667,61.693,37.98,38.066,0.116,0
11021.934,2398.167,1350.191,2882.097,633.307,701,704.5,55.36,37.98,37.964,0.079,0
10186.253,2061.526,1085.741,2856.814,603.246,711,707.75,38.704,37.98,37.993,0.121,0
17060.476,2448.219,1296.452,2879.664,738.106,711.5,709.417,31.025,37.98,37.977,0.161,0
8130.896,1927.115,1074.756,2296.875,530.186,671.5,672.75,31.183,37.83,37.786,0.16,0
11009.071,2434.547,1331.484,3031.841,537.759,651,649.333,33.124,39.295,39.31,1.542,0
14585.115,2487.913,1078.543,2857.997,577.833,631,644.167,52.029,40.91,40.85,0.073,0
13147.121,2113.388,1333.286,3025.375,607.777,691,697.833,27.991,40.91,40.865,0.069,0
22775.954,2750.068,1573.833,2761.196,718.028,691.5,694.5,39.643,40.91,40.91,0,0
6559.351,1884.264,1066.908,2434.134,627.943,681,682.75,27.52,40.91,40.865,0.069,0
19175.776,2238.339,1478.228,3348.854,812.339,661.5,666.167,30.446,40.91,40.85,0.073,0
13987.808,2475.378,1266.855,3397.891,794.917,661,671.167,25.308,40.76,40.806,0.094,0
17087.205,2232.387,1162.061,2323.031,440.39,661,667.833,28.754,40.76,40.82,0.073,0
18986.711,2155.59,1099.24,2010.572,397.023,661.5,659.417,27.828,40.76,40.776,0.079,0
27320.862,2284.561,1243.7,3238.267,780.573,621,632.833,30.058,40.91,40.85,0.073,0
11774.273,2177.921,1004.798,2947.3,611.814,641,644.5,32.783,40.76,40.763,0.112,0
8526.735,2301.312,1396.671,3123.356,809.758,681,661.25,37.375,40.76,40.734,0.108,0
14038.551,1747.457,1206.186,3193.763,689.906,652,666.167,48.995,40.76,40.792,0.109,0
14700.446,2910.757,1463.773,3075.123,761.92,631.5,621.167,23.104,40.91,40.85,0.073,0
19323.338,2909.69,1553.96,2996.872,670.238,711,702.833,51.125,40.76,40.761,0.065,0
8136.706,2168.801,1230.939,2671.677,572.89,681.5,694.5,46.491,40.76,40.777,0.102,0
9176.953,2318.262,1249.767,2605.187,581.906,681,689.417,36.091,40.76,40.747,0.077,0
24977.945,2330.823,1586.393,3448.135,719.339,681,684.5,30.187,40.62,40.706,0.116,0
7691.116,2540.551,1423.537,3055.853,665.602,681.5,679.583,36.174,40.69,40.69,0.07,0
17676.141,2635.036,1244.008,2837.676,678.826,691,684.5,21.403,40.76,40.748,0.101,0
13580.274,2175.616,1299.611,3692.062,884.52,681.5,688.083,23.461,40.62,40.619,0.065,0
11822.953,1838.774,1203.967,2425.989,473.78,691,691.167,46.553,40.62,40.605,0.045,0
15909.681,2712.071,1089.467,2071.575,569.692,660.5,662.917,55.889,40.62,40.662,0.064,0
10463.894,2177.016,1074.184,2193.069,491.862,731,724.583,28.064,40.62,40.648,0.109,0
17344.436,2474.506,1202.27,2614.159,637.87,721,711.083,36.312,40.62,40.59,0.06,0
15532.105,2540.199,968.091,2351.844,470.37,701.5,714.583,34.048,40.62,40.634,0.042,0
7908.468,2428.999,1049.785,2331.244,502.264,690.5,689.583,49.5,40.62,40.619,0.065,0
6547.364,1803.994,819.988,1655.27,368.435,681,679.417,36.024,40.47,40.515,0.096,0
9812.94,2045.862,1421.794,3845.985,735.951,701,696.083,37.81,40.47,40.544,0.098,0
24586.968,2339.7,1217.636,3137.744,744.349,681,664.25,47.746,40.62,40.529,0.151,0
23463.383,2196.709,1427.471,2541.715,543.625,681,689.333,31.213,40.62,40.589,0.088,0
29067.528,2300.354,1247.633,2703.183,538.01,681,679.417,27.831,40.545,40.559,0.097,0
17849.968,2272.89,1224.529,2428.871,505.657,621.5,626.083,27.345,40.47,40.53,0.073,0
28797.869,2292.128,1307.327,2863.087,609.225,641,644.417,59.542,40.47,40.515,0.069,0
10849.71,2092.933,906.189,2518.426,588.054,681,674.417,32.92,40.47,40.47,0.095,0
6660.432,2334.219,1520.612,3513.098,743.655,691.5,696.167,50.501,40.395,40.395,0.075,0
21499.053,2286.89,1264.694,2372.026,665.526,691.5,684.5,44.401,40.47,40.41,0.073,0
9191.703,2175.872,1206.73,3050.937,712.912,711.5,706.167,51.902,40.32,40.336,0.079,0
