Delta Power,Theta Power,Alpha Power,Beta Power,Gamma Power,ECG,EMG,Class
17690.392,2055.813,943.376,2345.316,495.747,677.833,40.307,0
19359.328,1929.573,1035.167,2461.613,523.017,647.833,40.308,0
23301.619,2217.899,972.397,2170.151,586.561,687.917,40.279,0
19649.275,2148.123,1240.426,2670.985,674.345,701.083,40.25,0
6856.239,2400.28,1039.686,2172.714,439.255,674.333,40.193,0
22779.856,2188.129,1074.023,2065.796,482.213,691,40.222,0
14983.024,2497.553,1469.363,3903.956,905.208,702.833,40.25,0
20294.677,2135.856,1108.571,3123.597,805.295,671.083,40.293,0
26938.057,2512.05,1381.283,3412.087,816.208,677.833,40.351,0
13543.444,2626.082,1044.495,3172.615,723.59,686.167,40.306,0
6278.018,1886.856,852.409,1862.903,426.235,706.25,40.294,0
12809.517,1705.975,725.668,1698.242,377.038,704.333,40.292,0
15510.907,1862.081,941.391,2081.972,423.054,706.25,40.38,0
17284.906,1924.52,787.974,1427.606,331.189,677.833,40.321,0
19311.508,2280.571,876.747,1885.613,398.437,691.083,40.307,0
21203.488,2193.279,835.902,1831.656,399.869,711.167,40.323,0
18152.133,1964.368,1133.393,2070.442,383.772,701.25,40.279,0
19361.165,2031.708,768.352,1928.723,392.711,706.25,40.336,0
8183.832,1754.888,743.397,1693.084,362.143,707.667,40.336,0
21809.47,2374.534,916.299,2023.217,439.892,729.5,40.351,0
13196.322,2071.608,983.982,1797.183,368.589,711.167,40.425,0
10868.163,2044.473,678.707,1438.596,319.148,734.5,40.321,0
14520.774,1716.397,788.105,1382.598,310.216,716.167,40.352,0
21059.976,2210.117,795.961,2020.377,471.612,737.917,40.322,0
14283.228,2163.076,1047.11,2110.865,425.367,719.333,40.395,0
6439.519,1726.393,929.751,1857.565,326.773,738.083,40.336,0
24419.805,2321.184,910.599,1759.456,371.089,731.167,40.307,0
28314.34,2255.333,1343.416,2272.153,459.259,691.167,40.366,0
22458.911,2545.554,851.898,2006.335,467.868,617.75,40.321,0
25053.179,2436.723,1011.313,2059.388,437.971,671.083,40.337,0
13823.005,2320.459,984.49,2089.144,418.845,671.083,40.38,0
11993.984,2007.994,1176.313,2372.533,558.873,722.75,40.279,0
20442.875,2049.951,977.836,1683.032,383.499,706,40.308,0
13222.833,1902.104,756.095,1230.419,251.933,706.25,40.265,0
10834.634,2012.851,693.362,1063.101,254.068,704.417,40.322,0
31469.69,2429.757,949.778,1735.326,430.745,686,40.335,0
6323.398,1596.932,692.372,1192.815,289.816,712.917,40.351,0
21694.84,2669.922,1452.187,3343.199,675.279,767.1,42.67,1
9800.113,2860.396,1262.707,2985.557,583.06,775.3,42.7,1
25433.965,2543.657,1269.707,3022.868,640.102,797.2,42.7,1
22375.682,2488.687,1441.537,3204.525,719.57,787.3,42.58,1
