Rdelta,Rtheta,Ralpha,Rbeta,MedianNN,MedianX,Class
0.689843662,0.104367271,0.056269635,0.120475511,770.5,42.67,1
0.736965366,0.084522731,0.046927549,0.107744847,801.5,42.52,1
0.674780831,0.100651784,0.054379905,0.141338736,761,42.23,1
0.681954241,0.110534425,0.058569311,0.125160487,791.5,42.23,1
0.797442752,0.071577781,0.040397925,0.072262857,771.5,42.08,1
0.538496347,0.170654189,0.11366353,0.148486291,781,42.08,1
0.669552061,0.125437154,0.065220515,0.115364881,751.5,42.08,1
0.626538963,0.141598197,0.072661931,0.132752453,750.5,42.23,1
0.702088172,0.112437183,0.062176797,0.101341894,771,42.52,1
0.691629778,0.102246272,0.055905889,0.122604633,761.5,42.52,1
0.673486017,0.126885369,0.066986719,0.11121387,801,42.52,1
0.732588359,0.105549311,0.048148492,0.09428922,771,42.52,1
0.736057895,0.097586969,0.053717832,0.092983414,861.5,42.52,1
0.709002317,0.10015805,0.056608406,0.113256458,741.5,42.52,1
0.64098748,0.124346785,0.05780209,0.146078745,830.5,42.38,1
0.76649538,0.084991398,0.048040395,0.083044221,831.5,42.38,1
0.746942317,0.083092826,0.053116173,0.096330846,841.5,42.38,1
0.779946973,0.079851268,0.042489664,0.079618359,781,42.38,1
0.772349933,0.080031627,0.040257809,0.089580682,800.5,42.38,1
0.724406557,0.093987206,0.055593625,0.103302164,771.5,42.38,1
0.670961503,0.126058085,0.059690696,0.116975002,821,42.38,1
0.726603105,0.099628734,0.050649109,0.102738169,791,42.23,1
0.670940633,0.122103811,0.061412104,0.11903206,791.5,41.94,1
0.650114076,0.123056664,0.079768319,0.121908895,771,41.94,1
0.610141821,0.145945413,0.078332303,0.137136836,740,41.94,1
0.704010824,0.126155956,0.050516172,0.097548184,771.5,41.94,1
0.750489697,0.084251494,0.053528449,0.091429923,721.5,41.94,1
0.630523357,0.144726175,0.080587941,0.118037379,760.5,41.79,1
0.647222448,0.122164695,0.073565518,0.131476491,751.5,41.79,1
0.715444906,0.105326427,0.053526731,0.104934619,700.5,41.79,1
0.707960632,0.094872878,0.06373168,0.109414923,711,41.64,1
0.635403681,0.139118234,0.075557897,0.124693758,771.5,41.79,1
0.74580726,0.096341224,0.047669692,0.093434717,760.5,41.79,1
0.766742697,0.084986029,0.044970219,0.084565278,791.5,41.64,1
0.612944962,0.121893115,0.067696481,0.166328073,761,41.715,1
